Sample,Photo,Pixels,Area,Treatment,Time,Experiment
C1T0,C1T0_15,47,0.209,Control,Start,Control Start
C1T0,C1T0_15,69,0.307,Control,Start,Control Start
C1T0,C1T0_15,170,0.756,Control,Start,Control Start
C1T0,C1T0_15,29,0.129,Control,Start,Control Start
C1T0,C1T0_15,10,0.044,Control,Start,Control Start
C1T0,C1T0_14,27,0.12,Control,Start,Control Start
C1T0,C1T0_14,180,0.8,Control,Start,Control Start
C1T0,C1T0_14,33,0.147,Control,Start,Control Start
C1T0,C1T0_14,41,0.182,Control,Start,Control Start
C1T0,C1T0_14,358,1.591,Control,Start,Control Start
C1T0,C1T0_14,91,0.404,Control,Start,Control Start
C1T0,C1T0_14,12,0.053,Control,Start,Control Start
C1T0,C1T0_14,22,0.098,Control,Start,Control Start
C1T0,C1T0_14,85,0.378,Control,Start,Control Start
C1T0,C1T0_14,89,0.396,Control,Start,Control Start
C1T0,C1T0_14,132,0.587,Control,Start,Control Start
C1T0,C1T0_14,91,0.404,Control,Start,Control Start
C1T0,C1T0_14,44,0.196,Control,Start,Control Start
C1T0,C1T0_14,52,0.231,Control,Start,Control Start
C1T0,C1T0_14,153,0.68,Control,Start,Control Start
C1T0,C1T0_14,14,0.062,Control,Start,Control Start
C1T0,C1T0_14,165,0.733,Control,Start,Control Start
C1T0,C1T0_14,65,0.289,Control,Start,Control Start
C1T0,C1T0_14,58,0.258,Control,Start,Control Start
C1T0,C1T0_14,26,0.116,Control,Start,Control Start
C1T0,C1T0_14,90,0.4,Control,Start,Control Start
C1T0,C1T0_14,140,0.622,Control,Start,Control Start
C1T0,C1T0_14,36,0.16,Control,Start,Control Start
C1T0,C1T0_14,48,0.213,Control,Start,Control Start
C1T0,C1T0_14,29,0.129,Control,Start,Control Start
C1T0,C1T0_14,55,0.244,Control,Start,Control Start
C1T0,C1T0_14,47,0.209,Control,Start,Control Start
C1T0,C1T0_14,17,0.076,Control,Start,Control Start
C1T0,C1T0_14,183,0.813,Control,Start,Control Start
C1T0,C1T0_14,45,0.2,Control,Start,Control Start
C1T0,C1T0_14,103,0.458,Control,Start,Control Start
C1T0,C1T0_14,29,0.129,Control,Start,Control Start
C1T0,C1T0_14,79,0.351,Control,Start,Control Start
C1T0,C1T0_14,54,0.24,Control,Start,Control Start
C1T0,C1T0_14,14,0.062,Control,Start,Control Start
C1T0,C1T0_14,48,0.213,Control,Start,Control Start
C1T0,C1T0_14,40,0.178,Control,Start,Control Start
C1T0,C1T0_14,57,0.253,Control,Start,Control Start
C1T0,C1T0_14,34,0.151,Control,Start,Control Start
C1T0,C1T0_14,95,0.422,Control,Start,Control Start
C1T0,C1T0_14,416,1.849,Control,Start,Control Start
C1T0,C1T0_14,43,0.191,Control,Start,Control Start
C1T0,C1T0_14,25,0.111,Control,Start,Control Start
C1T0,C1T0_14,219,0.973,Control,Start,Control Start
C1T0,C1T0_14,18,0.08,Control,Start,Control Start
C1T0,C1T0_14,325,1.444,Control,Start,Control Start
C1T0,C1T0_14,168,0.747,Control,Start,Control Start
C1T0,C1T0_14,48,0.213,Control,Start,Control Start
C1T0,C1T0_14,28,0.124,Control,Start,Control Start
C1T0,C1T0_14,10,0.044,Control,Start,Control Start
C1T0,C1T0_14,35,0.156,Control,Start,Control Start
C1T0,C1T0_14,133,0.591,Control,Start,Control Start
C1T0,C1T0_14,74,0.329,Control,Start,Control Start
C1T0,C1T0_14,419,1.862,Control,Start,Control Start
C1T0,C1T0_14,222,0.987,Control,Start,Control Start
C1T0,C1T0_14,35,0.156,Control,Start,Control Start
C1T0,C1T0_14,14,0.062,Control,Start,Control Start
C1T0,C1T0_14,30,0.133,Control,Start,Control Start
C1T0,C1T0_14,30,0.133,Control,Start,Control Start
C1T0,C1T0_14,36,0.16,Control,Start,Control Start
C1T0,C1T0_14,52,0.231,Control,Start,Control Start
C1T0,C1T0_14,119,0.529,Control,Start,Control Start
C1T0,C1T0_14,23,0.102,Control,Start,Control Start
C1T0,C1T0_14,95,0.422,Control,Start,Control Start
C1T0,C1T0_14,87,0.387,Control,Start,Control Start
C1T0,C1T0_14,114,0.507,Control,Start,Control Start
C1T0,C1T0_14,15,0.067,Control,Start,Control Start
C1T0,C1T0_14,25,0.111,Control,Start,Control Start
C1T0,C1T0_14,60,0.267,Control,Start,Control Start
C1T0,C1T0_14,144,0.64,Control,Start,Control Start
C1T0,C1T0_14,326,1.449,Control,Start,Control Start
C1T0,C1T0_14,89,0.396,Control,Start,Control Start
C1T0,C1T0_14,39,0.173,Control,Start,Control Start
C1T0,C1T0_14,23,0.102,Control,Start,Control Start
C1T0,C1T0_14,22,0.098,Control,Start,Control Start
C1T0,C1T0_14,129,0.573,Control,Start,Control Start
C1T0,C1T0_14,13,0.058,Control,Start,Control Start
C1T0,C1T0_14,169,0.751,Control,Start,Control Start
C1T0,C1T0_14,66,0.293,Control,Start,Control Start
